iter	Passed	Remaining
0	2	237
1	4	226
2	6	209
3	8	194
4	10	195
5	12	194
6	14	191
7	16	187
8	18	183
9	20	184
10	22	182
11	24	179
12	26	175
13	27	171
14	29	169
15	31	165
16	33	162
17	35	160
18	37	158
19	39	157
20	41	157
21	43	154
22	45	152
23	47	149
24	49	148
25	51	146
26	53	144
27	55	141
28	57	139
29	59	138
30	61	135
31	62	133
32	65	131
33	67	130
34	69	128
35	70	126
36	73	124
37	75	122
38	77	120
39	79	118
40	81	117
41	82	113
42	84	111
43	85	109
44	87	107
45	89	105
46	91	103
47	93	101
48	95	99
49	97	97
50	99	95
51	101	93
52	103	92
53	105	90
54	106	87
55	108	85
56	110	83
57	112	81
58	114	79
59	115	77
60	117	75
61	120	73
62	121	71
63	124	69
64	126	67
65	128	66
66	130	64
67	132	62
68	134	60
69	136	58
70	138	56
71	140	54
72	142	52
73	144	50
74	146	48
75	148	46
76	150	44
77	152	42
78	153	40
79	155	38
80	157	36
81	159	35
82	161	33
83	163	31
84	165	29
85	166	27
86	168	25
87	170	23
88	173	21
89	174	19
90	176	17
91	178	15
92	179	13
93	181	11
94	183	9
95	184	7
96	187	5
97	189	3
98	191	1
99	192	0
