iter	Passed	Remaining
0	159	159077
1	160	80210
2	161	53803
3	163	40716
4	165	32838
5	166	27531
6	167	23716
7	168	20860
8	169	18653
9	170	16917
10	172	15465
11	173	14256
12	174	13232
13	175	12343
14	176	11574
15	177	10920
16	179	10362
17	180	9838
18	181	9366
19	182	8939
20	183	8549
21	184	8206
22	185	7889
23	186	7591
24	187	7324
25	188	7074
26	189	6839
27	190	6626
28	191	6424
29	193	6252
30	194	6084
31	195	5928
32	197	5778
33	198	5635
34	199	5504
35	200	5374
36	201	5251
37	202	5135
38	203	5023
39	204	4916
40	205	4815
41	206	4720
42	208	4651
43	210	4570
44	211	4488
45	212	4408
46	213	4331
47	214	4257
48	215	4187
49	216	4119
50	217	4054
51	218	3989
52	219	3928
53	220	3868
54	221	3813
55	223	3768
56	224	3717
57	226	3671
58	227	3622
59	228	3576
60	229	3530
61	230	3484
62	231	3442
63	232	3399
64	233	3358
65	234	3317
66	235	3279
67	236	3240
68	237	3205
69	239	3183
70	240	3151
71	241	3118
72	243	3086
73	244	3054
74	245	3023
75	246	2992
76	247	2961
77	248	2932
78	249	2906
79	250	2879
80	251	2851
81	252	2823
82	253	2801
83	254	2780
84	256	2756
85	257	2732
86	258	2712
87	259	2689
88	260	2665
89	261	2642
90	262	2621
91	263	2600
92	264	2579
93	265	2558
94	266	2538
95	267	2519
96	268	2502
97	270	2486
98	271	2468
99	272	2450
100	273	2433
101	274	2415
102	275	2399
103	276	2381
104	277	2364
105	278	2349
106	279	2332
107	280	2317
108	281	2301
109	282	2286
110	283	2274
111	285	2262
112	286	2247
113	287	2233
114	288	2218
115	289	2204
116	290	2190
117	291	2177
118	292	2164
119	293	2151
120	294	2139
121	295	2126
122	296	2113
123	297	2102
124	298	2092
125	300	2082
126	301	2071
127	302	2059
128	303	2048
129	304	2036
130	305	2025
131	306	2014
132	307	2003
133	308	1992
134	309	1982
135	310	1971
136	311	1961
137	312	1952
138	313	1943
139	315	1935
140	316	1925
141	317	1916
142	318	1906
143	319	1897
144	320	1888
145	321	1879
146	322	1870
147	323	1861
148	324	1852
149	325	1844
150	326	1836
151	328	1830
152	329	1823
153	330	1816
154	331	1805
155	332	1796
156	333	1788
157	334	1780
158	335	1772
159	336	1764
160	337	1757
161	338	1749
162	339	1742
163	340	1734
164	341	1727
165	342	1720
166	343	1712
167	343	1702
168	345	1697
169	346	1691
170	347	1684
171	348	1677
172	349	1670
173	350	1663
174	351	1656
175	352	1649
176	353	1643
177	354	1637
178	355	1630
179	356	1624
180	357	1618
181	358	1613
182	360	1610
183	361	1605
184	363	1599
185	364	1593
186	365	1587
187	365	1580
188	367	1574
189	368	1569
190	369	1564
191	370	1558
192	371	1552
193	372	1546
194	373	1540
195	374	1536
196	375	1532
197	376	1526
198	378	1521
199	379	1516
200	380	1510
201	381	1505
202	382	1500
203	383	1495
204	384	1490
205	385	1485
206	386	1480
207	387	1475
208	388	1470
209	390	1468
210	391	1464
211	392	1459
212	393	1454
213	394	1449
214	395	1444
215	396	1439
216	397	1434
217	398	1430
218	399	1424
219	400	1420
220	401	1416
221	402	1411
222	404	1407
223	405	1404
224	406	1400
225	407	1395
226	408	1390
227	409	1386
228	410	1382
229	411	1377
230	412	1373
231	413	1369
232	414	1364
233	415	1360
234	416	1356
235	417	1351
236	418	1347
237	420	1344
238	421	1341
239	422	1336
240	423	1332
241	424	1328
242	425	1324
243	426	1320
244	427	1316
245	428	1312
246	429	1308
247	430	1304
248	431	1300
249	432	1296
250	433	1293
251	434	1289
252	435	1286
253	436	1282
254	437	1279
255	438	1275
256	439	1271
257	440	1268
258	441	1264
259	442	1260
260	443	1256
261	445	1253
262	446	1251
263	447	1248
264	449	1246
265	450	1243
266	451	1240
267	453	1238
268	454	1235
269	456	1233
270	457	1229
271	458	1227
272	460	1225
273	461	1222
274	462	1218
275	463	1215
276	464	1212
277	466	1210
278	467	1207
279	468	1204
280	469	1200
281	470	1197
282	471	1194
283	472	1190
284	473	1187
285	474	1184
286	475	1180
287	476	1177
288	477	1174
289	478	1171
290	479	1168
291	481	1166
292	482	1163
293	483	1160
294	484	1157
295	485	1154
296	486	1151
297	487	1147
298	488	1144
299	489	1141
300	490	1138
301	491	1135
302	492	1132
303	493	1129
304	494	1126
305	495	1124
306	496	1121
307	498	1118
308	499	1116
309	500	1113
310	501	1110
311	502	1107
312	503	1104
313	504	1101
314	505	1098
315	506	1095
316	507	1092
317	508	1089
318	509	1087
319	510	1085
320	511	1082
321	513	1080
322	514	1077
323	515	1074
324	516	1072
325	517	1069
326	518	1067
327	519	1065
328	521	1063
329	522	1061
330	524	1059
331	525	1058
332	527	1056
333	529	1055
334	530	1053
335	532	1051
336	534	1050
337	535	1049
338	537	1047
339	538	1045
340	540	1044
341	542	1043
342	543	1041
343	544	1039
344	546	1037
345	547	1035
346	549	1033
347	550	1031
348	551	1029
349	552	1026
350	554	1024
351	556	1023
352	557	1021
353	558	1020
354	560	1018
355	561	1016
356	563	1015
357	565	1013
358	566	1011
359	568	1010
360	572	1013
361	574	1011
362	575	1010
363	577	1008
364	578	1007
365	580	1005
366	581	1003
367	583	1001
368	584	999
369	586	998
370	588	997
371	589	994
372	590	993
373	592	990
374	593	988
375	594	986
376	595	984
377	596	982
378	598	980
379	599	978
380	601	977
381	602	975
382	603	972
383	604	970
384	605	967
385	607	965
386	608	963
387	609	961
388	610	959
389	611	956
390	612	954
391	613	952
392	615	951
393	617	949
394	618	946
395	619	944
396	620	941
397	621	939
398	622	937
399	623	934
400	624	932
401	625	930
402	626	927
403	627	925
404	628	923
405	629	921
406	631	919
407	632	917
408	633	915
409	634	913
410	635	911
411	637	909
412	638	907
413	639	904
414	640	902
415	641	900
416	642	898
417	643	895
418	644	893
419	646	892
420	647	890
421	648	888
422	649	886
423	650	884
424	651	882
425	653	879
426	654	877
427	655	875
428	656	874
429	657	872
430	659	870
431	660	868
432	662	867
433	663	865
434	664	863
435	665	861
436	667	859
437	668	857
438	669	855
439	670	853
440	671	851
441	672	849
442	674	847
443	675	846
444	677	844
445	678	843
446	679	841
447	681	839
448	682	837
449	683	835
450	684	833
451	685	831
452	686	829
453	687	827
454	689	825
455	690	824
456	692	822
457	693	821
458	695	819
459	696	817
460	697	816
461	699	814
462	700	812
463	701	810
464	702	808
465	703	806
466	704	804
467	706	803
468	708	801
469	709	800
470	710	797
471	711	795
472	712	793
473	713	791
474	714	789
475	715	787
476	716	785
477	717	783
478	718	781
479	719	779
480	721	778
481	723	777
482	724	775
483	725	773
484	726	771
485	727	769
486	728	767
487	729	765
488	730	763
489	731	761
490	732	759
491	733	757
492	734	755
493	735	753
494	737	752
495	738	750
496	739	748
497	740	746
498	741	744
499	742	742
500	743	740
501	744	738
502	745	736
503	746	735
504	747	733
505	749	731
506	750	729
507	751	727
508	753	726
509	754	724
510	755	722
511	756	720
512	757	718
513	758	717
514	759	715
515	760	713
516	761	711
517	762	709
518	763	707
519	764	705
520	765	703
521	767	702
522	768	701
523	769	699
524	770	697
525	771	695
526	772	693
527	773	691
528	774	689
529	775	688
530	776	686
531	777	684
532	779	682
533	780	680
534	781	678
535	782	677
536	783	675
537	785	674
538	786	672
539	787	670
540	788	669
541	789	667
542	790	665
543	791	663
544	793	662
545	794	660
546	795	658
547	796	656
548	797	655
549	799	653
550	800	652
551	801	650
552	802	648
553	803	646
554	804	644
555	805	643
556	806	641
557	807	639
558	808	638
559	809	636
560	810	634
561	812	633
562	813	631
563	814	629
564	815	628
565	817	626
566	817	624
567	819	622
568	820	621
569	821	619
570	822	617
571	823	616
572	824	614
573	825	612
574	826	611
575	828	609
576	829	608
577	830	606
578	831	604
579	832	603
580	834	601
581	835	599
582	836	598
583	837	596
584	838	594
585	839	593
586	840	591
587	841	589
588	843	588
589	844	587
590	845	585
591	846	583
592	847	581
593	848	580
594	849	578
595	850	576
596	851	575
597	852	573
598	853	571
599	854	569
600	855	568
601	857	566
602	858	565
603	859	563
604	861	562
605	862	560
606	863	558
607	864	557
608	865	555
609	866	553
610	867	552
611	868	550
612	869	548
613	870	547
614	871	545
615	873	544
616	874	542
617	875	541
618	876	539
619	877	537
620	878	536
621	879	534
622	880	533
623	882	531
624	883	529
625	884	528
626	885	526
627	886	525
628	888	523
629	890	522
630	891	521
631	892	519
632	893	517
633	894	516
634	895	514
635	896	513
636	897	511
637	898	509
638	900	508
639	901	506
640	902	505
641	903	503
642	905	502
643	906	501
644	907	499
645	908	498
646	909	496
647	910	494
648	911	493
649	912	491
650	914	489
651	915	488
652	916	486
653	917	485
654	918	483
655	920	482
656	921	481
657	922	479
658	923	477
659	924	476
660	925	474
661	926	473
662	927	471
663	929	470
664	930	468
665	931	466
666	932	465
667	933	464
668	935	462
669	936	461
670	937	459
671	938	458
672	939	456
673	940	454
674	941	453
675	942	451
676	943	450
677	944	448
678	945	446
679	946	445
680	947	443
681	948	442
682	950	441
683	951	439
684	952	437
685	953	436
686	954	434
687	955	433
688	956	431
689	957	430
690	958	428
691	959	427
692	960	425
693	961	424
694	962	422
695	964	421
696	966	419
697	967	418
698	968	416
699	969	415
700	970	413
701	971	412
702	972	410
703	973	409
704	974	407
705	975	406
706	976	404
707	977	403
708	978	401
709	980	400
710	981	399
711	983	397
712	984	396
713	985	394
714	986	393
715	987	391
716	988	390
717	989	388
718	990	387
719	991	385
720	992	384
721	994	382
722	996	381
723	997	380
724	998	378
725	999	377
726	1000	375
727	1001	374
728	1002	372
729	1003	371
730	1004	369
731	1005	368
732	1006	366
733	1007	365
734	1008	363
735	1010	362
736	1012	361
737	1013	359
738	1014	358
739	1015	356
740	1016	355
741	1017	353
742	1018	352
743	1020	351
744	1021	349
745	1022	348
746	1024	346
747	1025	345
748	1027	344
749	1028	342
750	1029	341
751	1031	340
752	1032	338
753	1034	337
754	1035	336
755	1037	334
756	1039	333
757	1042	332
758	1044	331
759	1046	330
760	1048	329
761	1049	327
762	1050	326
763	1052	325
764	1054	323
765	1057	322
766	1059	321
767	1061	320
768	1062	319
769	1064	317
770	1065	316
771	1066	315
772	1067	313
773	1069	312
774	1071	311
775	1073	309
776	1074	308
777	1075	306
778	1077	305
779	1078	304
780	1079	302
781	1080	301
782	1082	299
783	1083	298
784	1085	297
785	1087	296
786	1088	294
787	1089	293
788	1091	291
789	1093	290
790	1095	289
791	1096	288
792	1099	287
793	1102	286
794	1119	288
795	1121	287
796	1122	285
797	1124	284
798	1125	283
799	1126	281
800	1128	280
801	1131	279
802	1132	277
803	1134	276
804	1135	275
805	1136	273
806	1138	272
807	1139	270
808	1140	269
809	1142	267
810	1143	266
811	1146	265
812	1147	264
813	1149	262
814	1150	261
815	1151	259
816	1152	258
817	1154	256
818	1155	255
819	1156	253
820	1158	252
821	1159	251
822	1161	249
823	1163	248
824	1164	247
825	1165	245
826	1167	244
827	1168	242
828	1169	241
829	1171	239
830	1172	238
831	1174	237
832	1176	235
833	1178	234
834	1179	233
835	1181	231
836	1182	230
837	1183	228
838	1185	227
839	1187	226
840	1191	225
841	1192	223
842	1194	222
843	1195	221
844	1197	219
845	1198	218
846	1200	216
847	1201	215
848	1203	213
849	1204	212
850	1206	211
851	1208	209
852	1209	208
853	1210	206
854	1212	205
855	1213	204
856	1214	202
857	1215	201
858	1217	199
859	1218	198
860	1220	197
861	1222	195
862	1223	194
863	1225	192
864	1226	191
865	1227	189
866	1228	188
867	1230	187
868	1231	185
869	1232	184
870	1234	182
871	1235	181
872	1237	179
873	1238	178
874	1239	177
875	1240	175
876	1242	174
877	1243	172
878	1244	171
879	1245	169
880	1246	168
881	1248	166
882	1249	165
883	1251	164
884	1253	162
885	1254	161
886	1255	159
887	1256	158
888	1257	157
889	1259	155
890	1260	154
891	1261	152
892	1262	151
893	1263	149
894	1265	148
895	1267	147
896	1268	145
897	1269	144
898	1270	142
899	1271	141
900	1273	139
901	1274	138
902	1275	137
903	1276	135
904	1277	134
905	1279	132
906	1281	131
907	1282	129
908	1283	128
909	1285	127
910	1286	125
911	1287	124
912	1289	122
913	1290	121
914	1292	120
915	1294	118
916	1296	117
917	1297	115
918	1299	114
919	1300	113
920	1301	111
921	1303	110
922	1304	108
923	1306	107
924	1308	106
925	1310	104
926	1312	103
927	1313	101
928	1314	100
929	1316	99
930	1317	97
931	1318	96
932	1320	94
933	1321	93
934	1323	91
935	1324	90
936	1325	89
937	1327	87
938	1328	86
939	1329	84
940	1331	83
941	1332	82
942	1333	80
943	1335	79
944	1336	77
945	1337	76
946	1339	74
947	1341	73
948	1342	72
949	1345	70
950	1346	69
951	1349	68
952	1350	66
953	1352	65
954	1355	63
955	1357	62
956	1359	61
957	1361	59
958	1363	58
959	1365	56
960	1367	55
961	1369	54
962	1371	52
963	1373	51
964	1374	49
965	1376	48
966	1378	47
967	1380	45
968	1381	44
969	1383	42
970	1386	41
971	1387	39
972	1389	38
973	1391	37
974	1392	35
975	1394	34
976	1396	32
977	1398	31
978	1400	30
979	1402	28
980	1403	27
981	1405	25
982	1406	24
983	1407	22
984	1409	21
985	1410	20
986	1412	18
987	1414	17
988	1415	15
989	1417	14
990	1419	12
991	1420	11
992	1422	10
993	1424	8
994	1425	7
995	1427	5
996	1429	4
997	1431	2
998	1433	1
999	1436	0
